,company_name,company_js_url,company_rating,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,salary_rate,recommendation_rate,company_address,company_website,company_employee_num,company_benefit,company_dress_code,company_language,company_work_hours
0,Petroliam Nasional Berhad (PETRONAS),https://www.jobstreet.com.my/en/companies/1319304-petroliam-nasional-berhad-petronas,4.5584,1427,336,109,37,50,94%,88%,"Level 3, Menara Dayabumi Jalan Sultan Hishamuddin 50050 Kuala Lumpur, Malaysia",petronas.com,More than 5000 Employees,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1,Malayan Banking Berhad (Maybank),https://www.jobstreet.com.my/en/companies/610110-malayan-banking-berhad-maybank,4.347,1081,437,139,38,83,92%,87%,Menara Maybank Jalan Tun Perak Kuala Lumpur Wilayah Persekutuan Kuala Lumpur Malaysia,maybank.com,More than 5000 Employees,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Sports (e.g. Gym), Vision, Attractive Benefit Package",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
2,Keysight Technologies Malaysia Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/439382-keysight-technologies-malaysia,4.5613,904,299,64,14,26,94%,94%,"Bayan Lepas Free Industrial Zone, 11900 Penang, Malaysia.",jobs.keysight.com,2001 - 5000 Employees,"Medical, Education support, Loans, Dental, Sports (e.g. Gym), Parking, Vision, Meal Allowance, Mother's Room, Moms-to-be Carpark, Stock Purchase Program",Smart Casual,English,"Regular hours, Mondays - Fridays"
3,United Overseas Bank (Malaysia) Bhd,https://www.jobstreet.com.my/en/companies/609928-united-overseas-bank-malaysia,4.6111,920,276,48,11,23,97%,93%,Menara Uob Jalan Raja Laut Kuala Lumpur Wilayah Persekutuan Kuala Lumpur Malaysia,uob.com.my,2001 - 5000 Employees,"Medical, Loans, Dental, Optical",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
4,Kumpulan Wang Simpanan Pekerja (KWSP),https://www.jobstreet.com.my/en/companies/442827-kumpulan-wang-simpanan-pekerja-kwsp,4.4548,783,171,113,26,35,95%,78%,"Bangunan KWSP, Jalan Raja Laut, 50350 Kuala Lumpur",kwsp.gov.my,More than 5000 Employees,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Sports (e.g. Gym), Parking, MyFLEX",Business Casual,Bahasa Malaysia / English,"Regular hours, Mondays - Fridays"
5,Telekom Malaysia Berhad,https://www.jobstreet.com.my/en/companies/443816-telekom-malaysia-berhad,4.4683,686,269,77,13,27,89%,90%,"41th Floor (South Wing) Menara Telekom, Jalan Pantai Bharu, Kuala Lumpur 59200",tm.com.my,More than 5000 Employees,"Medical, Sports (e.g. Gym)",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
6,CIMB Group,https://www.jobstreet.com.my/en/companies/610564-cimb-group,4.1536,541,280,151,40,49,87%,82%,"Menara CIMB, No 1 Jalan Stesen Sentral 2, Kuala Lumpur Sentral, 50470, Kuala Lumpur, Malaysia",cimb.com.my,More than 5000 Employees,"Medical, Loans, Dental, Sports (e.g. Gym)",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7,UOA Development Bhd,https://www.jobstreet.com.my/en/companies/444890-uoa-development,3.6117,371,223,165,66,151,83%,73%,"UOA Corporate Tower, Bangsar South City, Jalan Kerinchi Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia",uoa.com.my,1001 - 2000 Employees,"Medical, Dental, Sports (e.g. Gym), Parking, Insurance coverage, Examination leave",Business (e.g. Shirts),English,Regular hours
8,Celcom Axiata Berhad,https://www.jobstreet.com.my/en/companies/610011-celcom-axiata-berhad,4.4028,516,233,69,9,28,85%,90%,"Celcom Axiata New Corporate  Office (CANCO), Persiaran Barat, Seksyen 52 Petaling Jaya, 46200 Petaling Jaya, Selangor",celcom.com.my,2001 - 5000 Employees,"Medical, Dental, Sports (e.g. Gym), Vision, Company Mobile Line (CML)",Smart Casual,English,"Regular hours, Mondays - Fridays"
9,Tenaga Nasional Berhad,https://www.jobstreet.com.my/en/companies/440141-tenaga-nasional-berhad,4.6697,590,140,23,7,12,88%,93%,"129 Jalan Bangsar, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",tnb.com.my,More than 5000 Employees,"Dental, Education support, Loans, Medical, Miscellaneous allowance, Sports (e.g. Gym)",Formal (e.g. Shirts + Ties),Bahasa Malaysia & English,"Regular hours, Mondays - Fridays"
10,Top Glove Corporation Berhad,https://www.jobstreet.com.my/en/companies/442509-top-glove-corporation-berhad,3.8521,321,220,101,33,89,93%,70%,"Persiaran Setia Dagang, Setia Alam, Seksyen U13, 40170 Shah Alam, Selangor, Malaysia",topglove.com.my,More than 5000 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
11,Public Bank Berhad,https://www.jobstreet.com.my/en/companies/610007-public-bank-berhad,3.9198,300,229,129,39,51,94%,75%,Menara Public Bank Jalan Ampang Wilayah Persekutuan Kuala Lumpur,publicbankgroup.com,More than 5000 Employees,"Medical, Loans, Attractive Remuneration Package and Insurance Coverage",Office attire,English,"Regular hours, Mondays - Fridays"
12,Hong Leong Bank Berhad,https://www.jobstreet.com.my/en/companies/609933-hong-leong-bank-berhad,3.5275,228,196,163,57,101,76%,62%,"Menara Hong Leong, No 6, Jalan Damanlela, Bukit Damansara 50490 Kuala Lumpur, Malaysia",hlb.wd3.myworkdayjobs.com,More than 5000 Employees,"Medical, Loans, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
13,OCBC Bank (Malaysia) Berhad,https://www.jobstreet.com.my/en/companies/440209-ocbc-bank-malaysia-berhad,4.3614,459,154,76,24,23,93%,85%,Menara OCBC 18 Jalan Tun Perak 50050 Kuala L5umpur Malaysia,ocbc.com.my,2001 - 5000 Employees,"Medical, Loans, Dental, Insurance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
14,RHB Banking Group,https://www.jobstreet.com.my/en/companies/610274-rhb-banking-group,3.9564,324,212,106,30,63,86%,80%,Rhb Centre Jalan Tun Razak Kuala Lumpur Selangor Malaysia,No Info,More than 5000 Employees,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Sports (e.g. Gym), Parking, Vision, Performance Incentive Scheme",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
